image_path,class_name,sha256,leaf_group_id,leaf_number,mapping_status,mapping_method,mapping_source,physical_leaf_identity_verified,split,split_unit_id,split_unit_type
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\01e079ba-939a-4681-8983-db663f4a859b___GCREC_Bact.Sp 3029.JPG,Tomato___Bacterial_spot,ecae26f0edbb108f85d49acfaa919ac04188f8d51c82d539a72ad6c01dd05502,Tomato___Bacterial_spot::leaf::21.0,21.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::21.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\02626a44-a613-4402-a6b0-243858736e32___GCREC_Bact.Sp 3191.JPG,Tomato___Bacterial_spot,94febc117abe14141a36995d507e1c5b5a9943ed3a5d380a8dd37abd8dba5cc7,Tomato___Bacterial_spot::leaf::62.0,62.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::62.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\034caf25-29c3-4be2-a725-d2866ce6f548___GCREC_Bact.Sp 3575.JPG,Tomato___Bacterial_spot,b2ef8d98f6f8ea24dd329a068c7aa769dcdbff37fe490bd1e8674064b0630d40,Tomato___Bacterial_spot::leaf::157.0,157.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::157.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\04210e47-ad95-4648-8f1e-dc183581157c___UF.GRC_BS_Lab Leaf 0320.JPG,Tomato___Bacterial_spot,41162b5d12431d937e5b754beec460a9471b2a1b8b7b4fa6d27b36113fdc685f,Tomato___Bacterial_spot::leaf::452.0,452.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::452.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\05530c50-5cb9-484f-91d0-82c9df7689d5___GCREC_Bact.Sp 6051.JPG,Tomato___Bacterial_spot,1bd7bb6fd0d9d7bd9fc96e5be80927c97a6bf0bdeba2f170876704dec72df340,Tomato___Bacterial_spot::leaf::355.0,355.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::355.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\057e3333-e63f-4259-888e-12869cc457c7___GCREC_Bact.Sp 3317.JPG,Tomato___Bacterial_spot,2edc098d8c4ecfa8370a6f5f382978cf748406ee6720ebf30dc5c97f56de1fbc,Tomato___Bacterial_spot::leaf::93.0,93.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::93.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\07246956-b38c-4d28-acec-85d032ba989e___UF.GRC_BS_Lab Leaf 0278.JPG,Tomato___Bacterial_spot,f371c8c480220d701ec0b46455b0cfc04ddcfc84931fbfcdb31c29a694edaa52,Tomato___Bacterial_spot::leaf::448.0,448.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::448.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\076ef17d-dfd3-4dbc-a351-a14eff1aecdb___UF.GRC_BS_Lab Leaf 8980.JPG,Tomato___Bacterial_spot,c31a22474ebf1f97702d9266f44ff8f3f04221c18617c94b31489c3d5de67889,Tomato___Bacterial_spot::leaf::514.0,514.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::514.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\087cec29-0b94-4fd0-9c29-92f50cc8155f___UF.GRC_BS_Lab Leaf 0289.JPG,Tomato___Bacterial_spot,ea28111d9fa98e960144c929f9096f42b26bc2a00504f35a978b77124e29bc34,Tomato___Bacterial_spot::leaf::449.0,449.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::449.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\08a25478-76ed-4e4c-8ad0-bc7322f050b0___GCREC_Bact.Sp 3028.JPG,Tomato___Bacterial_spot,0b290d5e1b45d10b9f38978613632418c3b742394300cf9814f9ae0d336219ca,Tomato___Bacterial_spot::leaf::21.0,21.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::21.0,METADATA_LEAF_GROUP
