excluded_image,original_image,sha256
datasets\raw\tomato\plantvillage_color\Tomato___healthy\34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,datasets\raw\tomato\plantvillage_color\Tomato___healthy\068e324c-faf6-40d6-8f83-578907f1cac5___GH_HL Leaf 466.1.JPG,2a05a74db3a270ac0ec77c00ebe89a332eed589819435129cc3c29eb6e701eb2
datasets\raw\tomato\plantvillage_color\Tomato___healthy\505465db-407b-4e0a-8110-7479dad5261c___GH_HL Leaf 389.JPG,datasets\raw\tomato\plantvillage_color\Tomato___healthy\37203047-d8ba-43f7-b31e-d496c41c569c___GH_HL Leaf 389.JPG,addddf5cb2a74192c9836be70fc223659062675eb325d55429c341a0c44937d0
datasets\raw\tomato\plantvillage_color\Tomato___healthy\a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,datasets\raw\tomato\plantvillage_color\Tomato___healthy\488feb1c-4b9f-44e7-8aa6-4103a9601f5f___GH_HL Leaf 434.JPG,12852b3616bcf0ba39b03b5677e74f50f5f6abf4d38957fe17949e23e2a4b244
datasets\raw\tomato\plantvillage_color\Tomato___healthy\cfd491d6-4af5-4728-8f0e-0d330a07174a___GH_HL Leaf 482.2.JPG,datasets\raw\tomato\plantvillage_color\Tomato___healthy\1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2.JPG,61f6fa6195ef5c59c4918a292c641d4cd3d2d31ff051dcd0f36a625daf93f5ef
datasets\raw\tomato\plantvillage_color\Tomato___healthy\d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG,datasets\raw\tomato\plantvillage_color\Tomato___healthy\9662364c-aaba-45e3-b907-10792d60578c___GH_HL Leaf 220.JPG,32e9ffabaa054c19ae8df95e94fbd7a25105defdea1214eb5f8bd804ea9a7428
datasets\raw\tomato\plantvillage_color\Tomato___healthy\e786ac89-29fe-47e3-b49e-b9a9ee7edd9d___GH_HL Leaf 342.1.JPG,datasets\raw\tomato\plantvillage_color\Tomato___healthy\37aad83b-7ff8-4b35-b3ed-fb8e0f54910b___GH_HL Leaf 342.1.JPG,68cda8c3ceca7626cc6727e14186d356b10d1e345eb16e425ef82f21a30258ed
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\2c47b891-3c97-48f1-a2cc-5aa53d3a1148___GHLB2 Leaf 9011.JPG,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\1a69b38b-c4eb-42c4-9584-bcb14fb8db0c___GHLB2 Leaf 9011.JPG,7ff8410db407008bb9aecf0cc5505f2b47ffd89e508413a30ea983b4bc169714
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\3fae9c64-18f0-4a67-9f97-554248bb1bed___GHLB_PS Leaf 24 Day 16.jpg,4913a3835e692530e507d542caccacc0d0a7b2fd708782cdec6236a1a0dbbcd6
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\bd4f09bd-ee85-4ab1-bce0-8cde3fdd7f1b___GHLB_PS Leaf 23.7 Day 13.jpg,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\48c55974-9fe9-4f4b-94f7-c8cd127d1e05___GHLB_PS Leaf 23.7 Day 13.jpg,375eee7b5da77c7afdd73d089574bee3148d04cbe266ee070ee4774d26aca750
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,90220c67ab2c3ed150e93f0c26691d463200e784c74152e62acedac8a4d2d525
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG,a05e573ae6c4a28b077b8c9d01249be849f4f8e1790b2625b42c6bc01098f718
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\d82b634e-9a19-497b-b698-aaf100d622a1___GHLB_PS Leaf 24 Day 13.jpg,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg,3a60a7b6f3a287981d21dca37f27e5480cc46d1144688d435e53db7a47b7006f
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\5688ea99-c949-41d0-bbab-9cbf0ffb8bcd___GHLB2 Leaf 8677.JPG,6e1610d4e0f6f84108af112322d11779254b2b2d41958449c64b0bf938628444
datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,datasets\raw\tomato\plantvillage_color\Tomato___Late_blight\5f21282c-e2ef-4c4a-ace1-b5701fe7effc___GHLB2 Leaf 8999.JPG,2aeb7479e975df37dfb54aa7b403f57f2ad90b018c37809e572a2a932f55d2a7
