image_path,class_name,sha256,original_split,leaf_mapping
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/27ba7432-8547-436c-9b97-adf3cbe15575___RS_Erly.B 7544.JPG,Tomato___Early_blight,1381fea1304fef6084ddac8001c7057d77453addf864b25ed5f569bf0e255961,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/c78483c5-424f-4a5f-aab3-5b909b62a7e6___RS_Erly.B 7541.JPG,Tomato___Early_blight,efdba0900b51e1b48c33ca7936a9f42488fb579a2d2de21c394e569b3114b9d5,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/289972f1-4f80-432d-8f44-39c16ea787c3___RS_Erly.B 7542.JPG,Tomato___Early_blight,968c679f1a86bfc719320a31aded147409582a602c8a2fd793e392933620b1b5,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/08615b7d-eca7-487e-a9ea-07842ecf81e8___RS_Erly.B 7543.JPG,Tomato___Early_blight,4af0d0fcec85a266648273f48a83382b3f4a1da9df304450b261023588eb0abe,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/cc822ace-0411-4ff9-b040-3670031c6467___RS_Erly.B 7553.JPG,Tomato___Early_blight,4b703f39f77a9f635c4fe3288dcdb74a4c3acdd2ee9de33cfe32750eaca5d266,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/d98cdabc-9183-4829-aa46-d40538d25462___RS_Erly.B 7554.JPG,Tomato___Early_blight,4e117d04227e4b325a98e7c46c8fe3b1fa8941d844d4fb370f77e336c38900d3,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/ca7035fa-f55d-49c7-9d89-3d513c8e35b1___RS_Erly.B 7556.JPG,Tomato___Early_blight,94ee35b993f0b72380f1215b50b96aba73442618e91bd967d351494606e9f520,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/fcf97241-bd84-4829-b326-72590a3f4f59___RS_Erly.B 7555.JPG,Tomato___Early_blight,2edd9b718e13e7f1c53f9aa96e7eb435c9eb89d30a4bd1f6368c10f450211bd7,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/5e10503d-8b4e-4215-9128-b92b48fce53d___RS_Erly.B 7559.JPG,Tomato___Early_blight,afcfa318180731b75d98c1ad3109149d2511d88b5655dd6fe445d1ba10ae2854,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/7cd27862-7a89-4ffc-bc08-7dfbb24f76d9___RS_Erly.B 7560.JPG,Tomato___Early_blight,8d965906c58aa28262471809826e03a46153ae10328f38502f074a512136afc3,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/55d4f7b2-17d3-4987-92fe-6aff1a8c4f3a___RS_Erly.B 7558.JPG,Tomato___Early_blight,47c9375ad560fb972a3987e82761d01c284d048557314f98f0c39e8993c035d3,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/71eb9b0a-a7ea-47a0-8108-71949d74e22d___RS_Erly.B 7557.JPG,Tomato___Early_blight,0db145723097cfcb606910f54563f8505feb16bf2c1d5c0c57e9a2d8d1fcb76a,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613.JPG,Tomato___Early_blight,35483da8b723952df1ae83e7063f5b16ee19d7056da60d890238402aaf465ea2,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/f0eb00dc-22da-4c8b-b86d-72157ea9e71d___RS_Erly.B 9610.JPG,Tomato___Early_blight,ba0934c7115c50956b68e8d81a465977d73ae9daa1588c4e26a0c2ff4bb6ff69,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/3c5b8470-8596-44bf-baa3-164a03e1c818___RS_Erly.B 9611.JPG,Tomato___Early_blight,d2818a374901aa3ae2340f605cb3ade6f60a2c4e4bb927f21a9d565094b5d324,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/13c87a78-0a62-4aff-b6f3-fcbf1a8323e6___RS_Erly.B 9612.JPG,Tomato___Early_blight,bd6d4ef1ce38cfe625b826af5e96eaf42519958c60e364b59f9edbee90e04694,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,Tomato___Early_blight,39cb2cdcd95368f552af0e357a7d978fe66df4903e2bd8934f5f25460b66caee,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/c63ff9c7-0422-4a71-8727-7c2581fdee6e___RS_Erly.B 9406.JPG,Tomato___Early_blight,3439864e25b38866734af47541934eaa30d5efe74bd0715e965913cea64a5115,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/bef16984-17c5-4796-9496-85808dfa3a56___RS_Erly.B 9405.JPG,Tomato___Early_blight,25f606df5d0e23efa09f740f9afc3dab69135c0dd10a33418cca30494d68a5c3,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/fe167aa5-089e-4295-ad85-071819b7b692___RS_Erly.B 9403.JPG,Tomato___Early_blight,f3785bdbfe40bfba87641fd7d393812aedbe51138403eeedf0e6131f56dacba1,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/983a04ad-2cc6-4d78-9365-a67012b4ffdc___RS_Erly.B 7661.JPG,Tomato___Early_blight,07b048432094e6b2f48fc6abc81a1f1d2af17fb822245ee777325147d822cb34,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/04ddbde3-d33c-42bf-b849-dad24d64fd6f___RS_Erly.B 7664.JPG,Tomato___Early_blight,38093b22f698ad2707c507a8d446ac95d18f553dcec85201d567bd8c642cd65f,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/3069555f-45e9-4208-bc5e-015ce47e34e2___RS_Erly.B 7663.JPG,Tomato___Early_blight,4fcb94e54e1a275dbcbba1cedb5227b2631488afc91da1ee4a50c15a1b942263,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/b857a91a-c6e2-4d47-a025-5a5c3254e0a2___RS_Erly.B 7662.JPG,Tomato___Early_blight,8df8af1b31cf867be643d2f089f5fecfa379ef3b1777ac0a3c7be7a7bf4bf705,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/25b96058-36c9-4213-bb16-088e76cb30b1___RS_Erly.B 9417.JPG,Tomato___Early_blight,863e45cf5de53abc5ce3d4937e7993e371b21a4370b7602e9ecd1bc7fc217e6c,train,KNOWN
